Posição,País,Medalhas de Ouro,Medalhas de Prata,Medalhas de Bronze,Total de Medalhas
10º,Holanda HOL,27.0,17.0,12.0,56.0
11º,Alemanha ALE,10.0,14.0,25.0,49.0
12º,Japão JAP,14.0,10.0,17.0,41.0
13º,Espanha ESP,7.0,11.0,22.0,40.0
14º,Coreia do Sul CDS,6.0,10.0,14.0,30.0
15º,Tailândia TAI,6.0,11.0,13.0,30.0
16º,Índia IND,7.0,9.0,13.0,29.0
17º,Canadá CAN,10.0,9.0,10.0,29.0
18º,Colômbia COL,7.0,7.0,14.0,28.0
19º,Turquia TUR,6.0,10.0,12.0,28.0
20º,Uzbequistão UZB,10.0,9.0,7.0,26.0
21º,Irã IRA,8.0,10.0,7.0,25.0
22º,Polônia POL,8.0,6.0,9.0,23.0
23º,Suíça SUI,8.0,8.0,5.0,21.0
24º,México MEX,3.0,6.0,8.0,17.0
25º,Marrocos MAR,3.0,6.0,6.0,15.0
26º,Hungria HUN,5.0,6.0,4.0,15.0
27º,Indonésia INS,1.0,8.0,5.0,14.0
28º,Bélgica BEL,7.0,4.0,3.0,14.0
29º,Argentina ARG,2.0,3.0,8.0,13.0
30º,Grécia GRE,3.0,3.0,7.0,13.0
31º,Azerbaijão AZE,4.0,2.0,5.0,11.0
32º,Argélia ALG,6.0,0.0,5.0,11.0
33º,Tunísia TUN,5.0,3.0,3.0,11.0
34º,Dinamarca DIN,2.0,3.0,5.0,10.0
35º,Israel ISR,4.0,2.0,4.0,10.0
36º,Cuba CUB,6.0,3.0,1.0,10.0
37º,Geórgia GEO,1.0,4.0,4.0,9.0
38º,Nova Zelândia NZL,1.0,4.0,4.0,9.0
39º,Cazaquistão CAZ,2.0,3.0,4.0,9.0
40º,República Tcheca TCH,1.0,4.0,3.0,8.0
41º,Hong Kong HKG,3.0,4.0,1.0,8.0
42º,Portugal POR,2.0,1.0,4.0,7.0
43º,Noruega NOR,1.0,3.0,3.0,7.0
44º,Egito EGI,2.0,2.0,3.0,7.0
45º,Nigéria NGR,2.0,3.0,2.0,7.0
46º,Chile CHI,1.0,0.0,5.0,6.0
47º,África do Sul AFS,2.0,0.0,4.0,6.0
48º,Irlanda IRL,1.0,3.0,2.0,6.0
49º,Sérvia SER,1.0,3.0,2.0,6.0
50º,Venezuela VEN,3.0,2.0,1.0,6.0
51º,Iraque IRQ,1.0,1.0,3.0,5.0
52º,Taiwan TAW,0.0,3.0,2.0,5.0
53º,Malásia MAL,2.0,2.0,1.0,5.0
54º,Eslováquia ESV,3.0,2.0,0.0,5.0
55º,Finlândia FIN,0.0,1.0,3.0,4.0
56º,Croácia CRO,1.0,1.0,2.0,4.0
57º,Equador EQU,2.0,0.0,2.0,4.0
58º,Áustria AUT,0.0,3.0,1.0,4.0
59º,Mongólia MOG,1.0,3.0,0.0,4.0
60º,Letônia LET,3.0,1.0,0.0,4.0
61º,Suécia SUE,0.0,1.0,2.0,3.0
62º,Jordânia JOR,2.0,0.0,1.0,3.0
63º,Cingapura CIN,2.0,1.0,0.0,3.0
64º,Etiópia ETI,2.0,1.0,0.0,3.0
65º,Atletas Paraolímpicos Refugiados APR,0.0,0.0,2.0,2.0
66º,Chipre CHP,0.0,1.0,1.0,2.0
67º,Moldávia MOL,0.0,1.0,1.0,2.0
68º,Eslovênia ESL,1.0,0.0,1.0,2.0
69º,Kuwait KUA,1.0,0.0,1.0,2.0
70º,Namíbia NAM,1.0,0.0,1.0,2.0
71º,Romênia ROM,1.0,0.0,1.0,2.0
72º,Bósnia e Herzegovina BOS,0.0,2.0,0.0,2.0
73º,Costa Rica COS,2.0,0.0,0.0,2.0
74º,Lituânia LIT,0.0,0.0,1.0,1.0
75º,Luxemburgo LUX,0.0,0.0,1.0,1.0
76º,Maurício MRI,0.0,0.0,1.0,1.0
